"The 2009 PSSA Science School Level Proficiency Results",,,,,,,,,,,,
"(Full Academic Year; No PASA Scores) Groups with less than 10 students assessed were removed from the file. Percentages were rounded to the nearest tenth. Proficiency percentages may not add up to 100 due to rounding.",,,,,,,,,,,,
,,,,,,,,,,,,
"AUN","School #","County","IU Number","District","School","Grade","Group","Number Scored Science","% Advanced Science","% Proficient Science","% Basic Science","% Below Basic Science"
112011103,"000007302","Adams",12,"BERMUDIAN SPRINGS SD","BERMUDIAN SPRINGS ELEM",4,"All students",142,40.1,47.9,9.2,2.8
112011103,"000007302","Adams",12,"BERMUDIAN SPRINGS SD","BERMUDIAN SPRINGS ELEM",4,"Male",80,33.8,53.8,11.3,1.3
112011103,"000007302","Adams",12,"BERMUDIAN SPRINGS SD","BERMUDIAN SPRINGS ELEM",4,"Female",62,48.4,40.3,6.5,4.8
112011103,"000007302","Adams",12,"BERMUDIAN SPRINGS SD","BERMUDIAN SPRINGS ELEM",4,"White",129,42.6,45.7,9.3,2.3
112011103,"000007302","Adams",12,"BERMUDIAN SPRINGS SD","BERMUDIAN SPRINGS ELEM",4,"Hispanic",10,10.0,70.0,10.0,10.0
112011103,"000007302","Adams",12,"BERMUDIAN SPRINGS SD","BERMUDIAN SPRINGS ELEM",4,"IEP",11,9.1,63.6,18.2,9.1
112011103,"000007302","Adams",12,"BERMUDIAN SPRINGS SD","BERMUDIAN SPRINGS ELEM",4,"Economically Disadvantaged",40,17.5,55.0,17.5,10.0
112011103,"000006921","Adams",12,"BERMUDIAN SPRINGS SD","BERMUDIAN SPRINGS MS",8,"All students",153,19.0,38.6,21.6,20.9
112011103,"000006921","Adams",12,"BERMUDIAN SPRINGS SD","BERMUDIAN SPRINGS MS",8,"Male",83,19.3,39.8,21.7,19.3
112011103,"000006921","Adams",12,"BERMUDIAN SPRINGS SD","BERMUDIAN SPRINGS MS",8,"Female",70,18.6,37.1,21.4,22.9
112011103,"000006921","Adams",12,"BERMUDIAN SPRINGS SD","BERMUDIAN SPRINGS MS",8,"White",142,20.4,38.0,21.1,20.4
112011103,"000006921","Adams",12,"BERMUDIAN SPRINGS SD","BERMUDIAN SPRINGS MS",8,"IEP",14,7.1,14.3,21.4,57.1
112011103,"000006921","Adams",12,"BERMUDIAN SPRINGS SD","BERMUDIAN SPRINGS MS",8,"Economically Disadvantaged",26,3.8,23.1,46.2,26.9
112011103,"000000003","Adams",12,"BERMUDIAN SPRINGS SD","BERMUDIAN SPRINGS HS",11,"All students",155,14.2,25.8,45.2,14.8
112011103,"000000003","Adams",12,"BERMUDIAN SPRINGS SD","BERMUDIAN SPRINGS HS",11,"Male",84,17.9,22.6,46.4,13.1
112011103,"000000003","Adams",12,"BERMUDIAN SPRINGS SD","BERMUDIAN SPRINGS HS",11,"Female",71,9.9,29.6,43.7,16.9
