"The 2009 PSSA Writing School Level Proficiency Results",,,,,,,,,,,,
"(Full Academic Year; No PASA Scores) Groups with less than 10 students assessed were removed from the file. Percentages were rounded to the nearest tenth. Proficiency percentages may not add up to 100 due to rounding.",,,,,,,,,,,,
,,,,,,,,,,,,
"AUN","School #","County","IU Number","District","School","Grade","Group","Number Scored Writing","% Advanced Writing","% Proficient Writing","% Basic Writing","% Below Basic Writing"
112011103,"000000003","Adams",12,"BERMUDIAN SPRINGS SD","BERMUDIAN SPRINGS HS",11,"All students",154,11.7,72.7,12.3,3.2
112011103,"000000003","Adams",12,"BERMUDIAN SPRINGS SD","BERMUDIAN SPRINGS HS",11,"Male",82,9.8,67.1,18.3,4.9
112011103,"000000003","Adams",12,"BERMUDIAN SPRINGS SD","BERMUDIAN SPRINGS HS",11,"Female",72,13.9,79.2,5.6,1.4
112011103,"000000003","Adams",12,"BERMUDIAN SPRINGS SD","BERMUDIAN SPRINGS HS",11,"White",136,12.5,73.5,11.0,2.9
112011103,"000000003","Adams",12,"BERMUDIAN SPRINGS SD","BERMUDIAN SPRINGS HS",11,"Hispanic",10,0.0,60.0,30.0,10.0
112011103,"000000003","Adams",12,"BERMUDIAN SPRINGS SD","BERMUDIAN SPRINGS HS",11,"IEP",13,0.0,46.2,30.8,23.1
112011103,"000000003","Adams",12,"BERMUDIAN SPRINGS SD","BERMUDIAN SPRINGS HS",11,"Economically Disadvantaged",19,5.3,63.2,26.3,5.3
112011103,"000006921","Adams",12,"BERMUDIAN SPRINGS SD","BERMUDIAN SPRINGS MS",5,"All students",166,1.8,55.4,41.6,1.2
112011103,"000006921","Adams",12,"BERMUDIAN SPRINGS SD","BERMUDIAN SPRINGS MS",5,"Male",89,0.0,51.7,46.1,2.2
112011103,"000006921","Adams",12,"BERMUDIAN SPRINGS SD","BERMUDIAN SPRINGS MS",5,"Female",77,3.9,59.7,36.4,0.0
112011103,"000006921","Adams",12,"BERMUDIAN SPRINGS SD","BERMUDIAN SPRINGS MS",5,"White",144,2.1,57.6,38.9,1.4
112011103,"000006921","Adams",12,"BERMUDIAN SPRINGS SD","BERMUDIAN SPRINGS MS",5,"Hispanic",18,0.0,38.9,61.1,0.0
112011103,"000006921","Adams",12,"BERMUDIAN SPRINGS SD","BERMUDIAN SPRINGS MS",5,"Economically Disadvantaged",48,0.0,47.9,50.0,2.1
112011103,"000006921","Adams",12,"BERMUDIAN SPRINGS SD","BERMUDIAN SPRINGS MS",8,"All students",156,8.3,60.3,24.4,7.1
112011103,"000006921","Adams",12,"BERMUDIAN SPRINGS SD","BERMUDIAN SPRINGS MS",8,"Male",85,3.5,56.5,30.6,9.4
112011103,"000006921","Adams",12,"BERMUDIAN SPRINGS SD","BERMUDIAN SPRINGS MS",8,"Female",71,14.1,64.8,16.9,4.2
112011103,"000006921","Adams",12,"BERMUDIAN SPRINGS SD","BERMUDIAN SPRINGS MS",8,"White",144,9.0,61.1,22.9,6.9
112011103,"000006921","Adams",12,"BERMUDIAN SPRINGS SD","BERMUDIAN SPRINGS MS",8,"IEP",15,0.0,13.3,66.7,20.0
112011103,"000006921","Adams",12,"BERMUDIAN SPRINGS SD","BERMUDIAN SPRINGS MS",8,"Economically Disadvantaged",26,3.8,57.7,26.9,11.5
112011603,"000007822","Adams",12,"CONEWAGO VALLEY SD","CONEWAGO VALLEY INTRMD SCH",5,"All students",277,0.7,54.5,44.4,0.4
112011603,"000007822","Adams",12,"CONEWAGO VALLEY SD","CONEWAGO VALLEY INTRMD SCH",5,"Male",142,0.0,47.2,52.1,0.7
112011603,"000007822","Adams",12,"CONEWAGO VALLEY SD","CONEWAGO VALLEY INTRMD SCH",5,"Female",135,1.5,62.2,36.3,0.0
112011603,"000007822","Adams",12,"CONEWAGO VALLEY SD","CONEWAGO VALLEY INTRMD SCH",5,"White",231,0.9,56.3,42.4,0.4
112011603,"000007822","Adams",12,"CONEWAGO VALLEY SD","CONEWAGO VALLEY INTRMD SCH",5,"Black",11,0.0,54.5,45.5,0.0
112011603,"000007822","Adams",12,"CONEWAGO VALLEY SD","CONEWAGO VALLEY INTRMD SCH",5,"Hispanic",33,0.0,39.4,60.6,0.0
112011603,"000007822","Adams",12,"CONEWAGO VALLEY SD","CONEWAGO VALLEY INTRMD SCH",5,"IEP",32,0.0,12.5,84.4,3.1
112011603,"000007822","Adams",12,"CONEWAGO VALLEY SD","CONEWAGO VALLEY INTRMD SCH",5,"Economically Disadvantaged",85,0.0,40.0,60.0,0.0
112011603,"000006898","Adams",12,"CONEWAGO VALLEY SD","NEW OXFORD MS",8,"All students",310,9.4,61.0,24.2,5.5
112011603,"000006898","Adams",12,"CONEWAGO VALLEY SD","NEW OXFORD MS",8,"Male",140,5.7,55.7,30.7,7.9
112011603,"000006898","Adams",12,"CONEWAGO VALLEY SD","NEW OXFORD MS",8,"Female",170,12.4,65.3,18.8,3.5
112011603,"000006898","Adams",12,"CONEWAGO VALLEY SD","NEW OXFORD MS",8,"White",275,9.8,61.1,23.6,5.5
112011603,"000006898","Adams",12,"CONEWAGO VALLEY SD","NEW OXFORD MS",8,"Hispanic",24,4.2,62.5,29.2,4.2
112011603,"000006898","Adams",12,"CONEWAGO VALLEY SD","NEW OXFORD MS",8,"IEP",41,2.4,29.3,43.9,24.4
112011603,"000006898","Adams",12,"CONEWAGO VALLEY SD","NEW OXFORD MS",8,"Economically Disadvantaged",77,5.2,49.4,33.8,11.7
112011603,"000000017","Adams",12,"CONEWAGO VALLEY SD","NEW OXFORD SHS",11,"All students",309,7.8,66.3,23.3,2.6
112011603,"000000017","Adams",12,"CONEWAGO VALLEY SD","NEW OXFORD SHS",11,"Male",161,5.0,59.6,31.1,4.3
112011603,"000000017","Adams",12,"CONEWAGO VALLEY SD","NEW OXFORD SHS",11,"Female",146,10.3,74.7,14.4,0.7
