"School District Tuition Rates",,,,
"Based on the 2007-2008 School Year Operations",,,,
"For Use During the 2008-2009 Fiscal Year",,,,
"Certified: April 2009",,,,
,,,,
"AUN","School District","County","Elementary","Secondary"
1-12-01-110-3,"BERMUDIAN SPRINGS SD","Adams                                             ",6550,7027
1-12-01-160-3,"CONEWAGO VALLEY SD","Adams                                             ",6940,7497
1-12-01-305-4,"FAIRFIELD AREA SD","Adams                                             ",7759,9106
1-12-01-375-3,"GETTYSBURG AREA SD","Adams                                             ",9141,10181
1-12-01-520-3,"LITTLESTOWN AREA SD","Adams                                             ",7811,8250
1-12-01-852-3,"UPPER ADAMS SD","Adams                                             ",8355,7686
1-02-02-745-1,"PITTSBURGH SD","Allegheny                                         ",12734,13354
1-03-02-060-3,"ALLEGHENY VALLEY SD","Allegheny                                         ",9938,10629
1-03-02-075-3,"AVONWORTH SD","Allegheny                                         ",8938,9319
1-03-02-100-3,"PINE-RICHLAND SD","Allegheny                                         ",8331,9506
1-03-02-110-2,"BALDWIN-WHITEHALL SD","Allegheny                                         ",7399,9996
1-03-02-125-2,"BETHEL PARK SD","Allegheny                                         ",10014,9749
1-03-02-145-3,"BRENTWOOD BOROUGH SD","Allegheny                                         ",10061,8738
1-03-02-160-3,"CARLYNTON SD","Allegheny                                         ",9181,10148
1-03-02-175-2,"CHARTIERS VALLEY SD","Allegheny                                         ",7847,8658
1-03-02-190-3,"CLAIRTON CITY SD","Allegheny                                         ",12008,12901
1-03-02-210-3,"CORNELL SD","Allegheny                                         ",10277,10863
1-03-02-225-3,"DEER LAKES SD","Allegheny                                         ",9578,10487
1-03-02-250-3,"DUQUESNE CITY SD","Allegheny                                         ",10270,15266
1-03-02-280-3,"EAST ALLEGHENY SD","Allegheny                                         ",8603,9169
1-03-02-315-3,"ELIZABETH FORWARD SD","Allegheny                                         ",7610,9273
1-03-02-391-2,"FOX CHAPEL AREA SD","Allegheny                                         ",10632,11894
1-03-02-410-2,"GATEWAY SD","Allegheny                                         ",9086,12582
1-03-02-460-3,"HAMPTON TOWNSHIP SD","Allegheny                                         ",8915,9110
1-03-02-475-3,"HIGHLANDS SD","Allegheny                                         ",8476,9165
1-03-02-500-2,"KEYSTONE OAKS SD","Allegheny                                         ",10807,10290
1-03-02-600-2,"MCKEESPORT AREA SD","Allegheny                                         ",8225,8483
1-03-02-630-3,"MONTOUR SD","Allegheny                                         ",8964,10101
1-03-02-634-3,"MOON AREA SD","Allegheny                                         ",10196,10226
1-03-02-640-2,"MT LEBANON SD","Allegheny                                         ",9730,11295
1-03-02-685-2,"NORTH ALLEGHENY SD","Allegheny                                         ",10061,10523
1-03-02-687-3,"NORTHGATE SD","Allegheny                                         ",9485,10041
